text,label_model_1,label_model_2,label_model_3
interview trump clear plan iran u official resignation exactly warn ala charr tit ludicrous expect american people believe iran would attack u preemptively middle negotiation contradictory message trumpet al show little really think go war jasmine elgar al,anti-iran,neutral,neutral
analysis israel plan war iran yearsnetanyahuthis combine effort allow u hop achieve year crush regime terror completely promise amp go happen tanya year year proclaim last opportunity stop mad mullah obtain bomb bomb never materialise jonathan cook,anti-iran,anti-iran,neutral
interview americas war great israel ruin rabbi unpacks explosive new document expose israel systematic ethnic cleanse trump top diplomacy moment negotiation gain traction whether tehran bomb gulf state strategic miscalculation israel unending quest security fuel decade expansion war amp regional upheaval,anti-iran,neutral,neutral
analysis iranian revolutionary guard revert guerrilla root amp operate something like cell structure iran fight techno guerrilla war u amp israel fight conventional quite apart failure war tactic kill civilian leader war crime amp unprecedented modern warfare even putin teen key,anti-iran,neutral,neutral
every body warn washington post classify report national intelligence council find even large scale assault iran launch united state would unlikely oust islamic republic entrench military clerical establishment sober assessment trump administration raise spectre extended military campaign official say begin,neutral,anti-iran,neutral
interview already scenario u lose control war iran weak party capability create much long mayhem envision u amp israel political scientist valid nash,anti-iran,neutral,neutral
imperial blow backing churchill amp u counterpart launch coup democratically elect prime minister iran mohammad diego nationalizing oil industry usu regime overthrown iranian revolution one main reason people give revolution overthrow diego george mon,anti-iran,anti-iran,neutral
report classify u document say iran war unlikely topple regime document late february doubt iran opposition would take power follow either short extend u military campaign document come national intelligence council compose veteran analyst produce classified assessment meant represent collective wisdom washington intelligence agency,neutral,neutral,neutral
final near strait hormuz girl school bomb leave child dead yet american can not name town happen much less name single one girls modern war depend hierarchy grief training people treat foreign child abstraction number unfortunate incident deny obscure investigated leisure fact matter child kill classroom kill violence make possible materially politically american power,anti-iran,neutral,neutral
trump look turn attention western hemisphere least moment americas summit,neutral,neutral,neutral
living hell,anti-iran,anti-iran,neutral
verdant square radio playing lemon drop live trump distraction,neutral,neutral,neutral
operation epstein distraction trump bloody iran hype video seem target niche audience,anti-iran,neutral,neutral
policy choice market force war halfway around world explain spike price lead unnecessary economy wide high interest rate,neutral,neutral,neutral
play lemon drop live trump distraction,neutral,neutral,neutral
jarrod age executive director trump national energy dominance council lay bare real motive behind illegal iran war fox business naked grab iran oil reserve long term game age say want get massive oil reserve iran hand terrorist trump peace strength code imperialist resource grab dress antiterrorism,anti-iran,anti-iran,anti-iran
morning cost trump insane pass billion,neutral,neutral,neutral
martin turner political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,neutral
imagine superpower pick fight theocratic regime half way across world good reason proudly declare victory theocracy go rampage pull entire neighbourhood war block strategic shipping channel amp cause severe oil supply shock hit forget top strategic oil reserve enter war person face palm war amp,anti-iran,anti-iran,anti-iran
christian adams political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,neutral
oil gas price rapidly rise iran war show sign let new yorknbspnbspthe price oil surge high show sign halt rapid climb week,neutral,neutral,neutral
national intelligence council u war unlikely topple regime analyst conclude regime would respond kill supreme leader protocol design preserve continuity power prospect iran opposition take control country describe unlikely,anti-iran,neutral,neutral
great power spillover iran war implication china russia turkey europe washington institute,neutral,neutral,neutral
blah nylon music selection culture club war song,neutral,neutral,neutral
get good torpedo must pesos u government willing fire,neutral,neutral,neutral
see video rein amid,neutral,neutral,neutral
thoughtful piece spread collateral damage,neutral,neutral,neutral
go frequent protest make wonder liberal today ill share photo burn dumpster damage leave group people censor political graffiti think important people understand please share,neutral,neutral,neutral
puzzled people bic news editor expect stop hitting country allow u launch illegal attack take apology attack country use u sure case u join illegal war allow u attack iran base,anti-iran,neutral,neutral
case wonder like amp regularly launch missile amp drone strike lot oil infrastructure region may seem way film post illegal people arrest go frequent protest make wonder liberal today ill share photo burn dumpster damage leave group people censor political graffiti,anti-iran,neutral,neutral
president mohamed bin payed issue point warn retaliatory strike thick skin bitter flesh easy prey carry duty towards country people resident also part family,neutral,neutral,neutral
comedy write folk,neutral,neutral,neutral
still tvs use radio garda iran international still divert one u even though long air roll floor laughing,neutral,neutral,neutral
knew trump psychic sure hears time one psych ism like,neutral,neutral,neutral
age well tot knopf,neutral,neutral,neutral
bomb health trump iran attack highlight americas war spending crisis trump iran bomb highlight harsh reality trillion war american tell healthcare childcare family leave unaffordable,anti-iran,neutral,neutral
stood rubble home place shelter u hold dream today memory sorrow remain still cling hope try start anew whoever help u even share story please do hesitate broken heart fold hand,neutral,neutral,neutral
another u army hero arrest disrupt senate hearing protest epstein distraction war iran,anti-iran,anti-iran,neutral
well everyone must able contribute something daddy weird plan strength inherit,neutral,neutral,neutral
exactly love wonder earth would want part war way country treat question get answer easily u medium sphere quirky little network real actual kurd grateful last refuge truthful communication internet,neutral,neutral,neutral
arrow get live perfectly capture essence whole bunch american news way back beau coup de touch que parent fort per de tote que pendent,neutral,neutral,neutral
interview huge amount global oil amp gas pass strait hormuz particularly europe already start affect oil price alistair brooke unpacks flaw assumption u war iran would pan iran military strategy first exhaust israeli al interceptor war affect global resource flow economy amp much,neutral,neutral,neutral
report world stage,neutral,neutral,neutral
hear bomber think defensive,neutral,neutral,neutral
khz bic emergency service farsi change freq back originally list still via woofer united kingdom signal massive poland,neutral,neutral,neutral
also coalition organization continue protest trump across u want exercise constitutional right person safety please carefully read preparation advice state local organizer trump goon arrest assault gas amp shoot innocent protestors worth consider safe way show support like donate org volunteer,anti-iran,neutral,neutral
influence strand due iran war refuse fly economy class,neutral,neutral,neutral
shit show,anti-iran,anti-iran,anti-iran
everybody u pay dollar gallon gas trump want u stop talk raped year old,neutral,neutral,neutral
defensive action lie look paper thin another labours illegal war drag nation epstein class,anti-iran,neutral,neutral
new classify u intel report complete war warn even large scale attack topple iran regime analyst say internal force iran powerful enough challenge regime remain grip power yet trump say want good leader people think would good job bend knee trump would go everything stand one expert say,anti-iran,anti-iran,neutral
oil gas price surge iran war expand new york price oil surge high show sign halt rapid news,neutral,neutral,neutral
also several petition demand congress end trump sign help pressure elect official right thing,neutral,neutral,neutral
fog war first casualty,neutral,neutral,neutral
pakistan evaluate possible de escalation u war express caution lack success difference israeli aim fact iran nuclear program military economic consequence spread,neutral,neutral,neutral
congress provide website find contact information elect official enter address use let know support trump illegal keep vote end,neutral,neutral,neutral
spencer kim report global trade face disruption iran war halt tanker traffic strait hormuz trump administration announce billion reinsurance program restart oil movement click understand impact critical move,neutral,neutral,neutral
verdant square radio play coffee klatch robert reich kama bell,neutral,neutral,neutral
quiet escalation police car light reportedly give iran real time intel u warships need decisive victory escalate broken heart need casualty dramatically change escalation dynamic amp come next realist long warn police car light great power rarely stay neutral rival pressure support begin quietly police car light conflict widener page,anti-iran,neutral,neutral
corporate medium mention u ally mind immediately go last year u u corporate attempt way u citizens buy corporate medium nonsense anymore,neutral,neutral,neutral
verdant square radio play week trump war,neutral,neutral,neutral
report classify u document say iran war unlikely topple regime document late february doubt iran opposition would take power follow either short extend u military campaign document come national intelligence council compose veteran analyst produce classified assessment meant represent collective wisdom washington intelligence agency,neutral,neutral,neutral
trump police car light police car light police car light week energy economic crisis reg instability hotel american attack use bahrain iraq flight cancel impact since kill iran amp incl country regime escalate collapsingdemandingpolice car light unconditional surrender great rhetoric bad strategy wei police car light help lock german elites behind hitler instead split away page,anti-iran,anti-iran,anti-iran
another insightful conversation u war iran david tom nichols advocate u war iraq nichols professor emeritus national security u naval war college note u lack strategy war whats objective motivate military strike yet,anti-iran,neutral,neutral
first day iran war missile strike girl elementary school final three time kill girl age u investigator say likely american munition school open show satellite imagery school since u target list february seven day later public answer full investigation link,anti-iran,neutral,neutral
point iranian freedom american freedom change religion lunatic power poor people,anti-iran,anti-iran,neutral
michael gold arb offer thoughtful insightful discussion u iranian war journalist author beirut native kim ghat say iran regime aim survive believe outlast donald trump attention span commitment go back carter iran outline cover every u president,anti-iran,neutral,neutral
interview huge amount global oil amp gas pass strait hormuz particularly europe already start affect oil price alistair brooke unpacks flaw assumption u war iran would pan iran military strategy first exhaust israeli al interceptor war affect global resource flow economy amp much,neutral,neutral,neutral
white house wage online propaganda campaign aggressive tasteless video seemingly design young right american men,anti-iran,neutral,neutral
white house block release information increase risk terrorist attack u soil donald trump white house block top u intelligence agency warn law enforcement across country rise threat homeland tie war iran daily mail reveal,anti-iran,anti-iran,anti-iran
ruby israel make u story serve several purpose none honest deflects accountability administration order strike feed narrative u helplessness superpower supposedly drag war much small ally insult intelligence anyone pay attention recycles reactionary framework idea disproportionate israeli influence u foreign policy let washington hook question control answer look money weapon chain command,anti-iran,neutral,neutral
play week trump war,neutral,neutral,neutral
here question go unasked dumb ass nation commit genocide overthrow nation resist america justify anything iran destroy exist white people figure yet many war name much genocide shame little gain bad guy,anti-iran,anti-iran,anti-iran
military advisor police car light warn trump conflict sen graham travel see time recent week mtg mem intel agency police car light coach lobby trump action show intel persuade trump talk tomb aware police car light liken cdr hitler weak po remind trump effort assai moment make hustler resp carnage amp economic fallout double exclamation mark,anti-iran,neutral,neutral
report u investigator say u military probably carry double tap strike kill mostly young girl iranian elementary school double tap strike kill one group wait medic amp civilian teacher parent neighbours etc arrive order kill well,anti-iran,anti-iran,anti-iran
go warren davidson amp thomas massive vote resolution dino must replace along horrendous turncoat amp liar john letterman vote jared golden greg landsman juan vargas henry cellar,neutral,neutral,neutral
imperial blow backing churchill amp u counterpart launch coup democratically elect prime minister iran mohammad diego nationalizing oil industry usu regime overthrown iranian revolution one main reason people give revolution overthrow diego george mon,anti-iran,neutral,neutral
iran reject trumps demand unconditional surrender dream aloud pee skin issue rare apology neighbour gulf state iranian strike war enters eighth day,anti-iran,anti-iran,neutral
update many freq hear spot iranian bubble hammer amp khz note bubble hammer always freq iran far slightly beat many freq free,neutral,neutral,neutral
trump vance rubin seth patel amp top fail u think bully iranians ont send son finish politician status soldier must see amp share best explanation really happen,anti-iran,neutral,neutral
war int tonight tomorrow late piece concrete evidence amongst thousand trump full shit,neutral,neutral,neutral
accord trump amp u win accord u mainstream jury still accord independent source amp european amp middle eastern news far amp true well look ten hundred billion dollar,neutral,neutral,neutral
saudi count embattle pakistan help stop iranian attack,anti-iran,anti-iran,neutral
play coffee klatch robert reich kama bell,neutral,neutral,neutral
u special force kurdish militant prepare ground incursion iran report least nine maj commando ii aircraft u special operation command arrive u,anti-iran,anti-iran,neutral
right arrow america pedro,neutral,neutral,neutral
ten year ago use call tinfoil hat theory even sound bit much post national consolidating resource prepare abandon general populace thing like economic collapse climate disaster war possibly yesterday analysis,neutral,neutral,neutral
interview already scenario u lose control war iran weak party capability create much long mayhem envision u amp israel political scientist valid nash,anti-iran,neutral,neutral
analysis iranian revolutionary guard revert guerrilla root amp operate something like cell structure iran fight techno guerrilla war u amp israel fight conventional quite apart failure war tactic kill civilian leader war crime amp unprecedented modern warfare even putin teen key,anti-iran,neutral,neutral
report u investigator say u military probably carry double tap strike kill mostly young girl iranian elementary school double tap strike kill one group wait medic amp civilian arrive order kill well,anti-iran,anti-iran,neutral
white house go full paul even notorious hollywood heart war aggression video get click account one tasteless video edit another ever since,neutral,neutral,neutral
anybody confirm new true,neutral,neutral,neutral
war toll far iran military leadership cairo u israel strike much wider array target iran,anti-iran,anti-iran,neutral
dear mag at happy see felon don trump epstein war skyrocket beloved car gas price sport utility vehicle fuel pump chart decrease chart increase roll floor laughing,neutral,neutral,neutral
discussion alongside gen sud dakar see prof saran sing highlight admin rejection mediation seek return u talk question plan regime capitulation,neutral,neutral,neutral
international medium u expand war end,neutral,neutral,neutral
analysis threaten next war current white house social medias insult troll lie challenge spring race gulf u govt bash fund issue era stream van,neutral,neutral,neutral
time radio week review threat u gulf dilemma u late anti asylum blast future scott lucas mann,neutral,neutral,neutral
bright political cartoon gallery london originalpoliticalcartooncom,neutral,neutral,neutral
donald trump decision refill strategic petroleum reserve drain predecessor joe biden leave consumer expose oil price shock follow u israeli attack iran grin squint face,anti-iran,neutral,neutral
,neutral,neutral,neutral
ask social write president say ware donald trumps defense know lie often time often,neutral,neutral,neutral
say must listen,neutral,neutral,neutral
nicholas kris write pres trump prime minister benjamin tanya israel architect war seem afflict arrogance power president first task make u safe instead seem trump catapult u unnecessary conflict consume american iranian life alike cost billion dollar damage economy propel u peril,anti-iran,neutral,neutral
data centre become target digital infrastructure enters middle east conflict,neutral,neutral,neutral
ukraine ukrainian manufacturer cheap interceptor drone design knock enemy unmanned aerial vehicle say capacity export large volume amid enquiry united state middle east prompted war,neutral,neutral,neutral
israel fire broad scale strike tehran war hit second week israel announce new wave broad scale strike tehran saturday escalate war middle east enter second week oil price surge fear global supply disruption,anti-iran,neutral,neutral
interview iran military prowess amp america amp israel impulsive imperial hubris display detail analysis u go war iran military strategy u amp israeli goal amp flaw assumption effect war global resource flow huge amount global oil amp gas pass strait hormuz particularly europe already start affect oil price alistair brooke,anti-iran,anti-iran,neutral
hope kevin sarcastic otherwise hes simply another manga dip shit,neutral,neutral,neutral
defense force repeat warn civilian southern evacuate also demand evacuation southern suburb estimate lebanese civilian flee home,neutral,neutral,neutral
go awkward cant wait late update new ballroom hope hear drape selection jim wright,neutral,neutral,neutral
late israel hammer beirut tehran iran fire missiles israel gulf rank president reject demand united state unconditional surrender saturday apologize,anti-iran,anti-iran,neutral
defense force special force carry raid southern locate remain col ron arad whose plane go bomb mission witness say lebanese kill israeli land helicopter town nazi chit eastern begin valley,neutral,neutral,neutral
unsanctioned tanker blacklist handle iranian liquefy petroleum gas cross strait hormuz friday one handful vessel make waterway recent day,neutral,neutral,neutral
minister seek end conflict could bring economy world gulf energy exporter shut production price oil rise barrel even war end take qatar week month return normal cycle delivery,neutral,neutral,neutral
iran conflict could pose additional challenge emerge market sovereign channel energy import remittance fiscal subsidy exchange rate access international finance,neutral,neutral,neutral
illusion maritime transparency,neutral,neutral,neutral
u automaker still change mind eve,neutral,neutral,neutral
u automaker still change mind eve,neutral,neutral,neutral
data never lie narrator data lie,neutral,neutral,neutral
hmm hope flight path spoof real thing real flight barometric altitude signal loss edge iran airspace guess ill go look overnight news look like miss data plane land dub crazy crazy descent pattern,neutral,neutral,neutral
must saturday cheerful news,neutral,neutral,neutral
sat mar weird cant find iranian bubble hammer face open mouth iran international radio garda unnamed garda barely audible do see carrier either sig daytime game,neutral,neutral,neutral
iran president apologize neighbour defy u demand rank president apologize attack regional country keep criticism america comment come iranian missile drone continue fly toward israel gulf arab state late,anti-iran,anti-iran,anti-iran
interview americas war great israel ruin rabbi unpacks explosive new document expose israel systematic ethnic cleanse trump top diplomacy moment negotiation gain traction whether tehran bomb gulf state strategic miscalculation israel unending quest security fuel decade expansion war amp regional upheaval,anti-iran,neutral,neutral
analysis gain lose change govt leg deal invasion corruption effect u war,neutral,neutral,neutral
mania gaza palestinian territory mother four child husband daughter injured income live hard condition link hope please donate share kindness help u survive folded hand broken heart,neutral,neutral,neutral
donald trump hammer iran big bomb yet demand unconditional surrender,anti-iran,anti-iran,anti-iran
iran vow surrender strike hit tehran airport follow live update iran president ma oud pee skin say country surrender israel united state war enters second week,anti-iran,anti-iran,neutral
ask chat gemini claude likely global war iran conflict full breakdown backhand index point,neutral,neutral,neutral
rise kill airstrikes nazi chit begin valley eastern,anti-iran,neutral,neutral
trump want iranian rise take back country bomb kill regime change extermination,anti-iran,anti-iran,anti-iran
u send anti drone system mideast successful use ukraine official satan american anti drone system proven work russian drop airport time army time defense news marine pastimes military time navy time drone der time,anti-iran,neutral,neutral
iran war enters second week trump demand unconditional surrender war iran enter second week amid renewed uncertainty hostility end,anti-iran,anti-iran,anti-iran
color diagnose derangement syndrome,neutral,neutral,neutral
love post iran chinese social medium either straight fact post remind u humanity ground see fear monger gloat like see english social medium surprise israeli propaganda straight israeli embassy china people comment literally tell scram bugger whole easy get news update conflict igbo fee clean list update do wade racist bigoted hat fill awfulness get update xiaoping political fill beautiful video chinese people visit iran post comment common theme wish peaceful iran war english social medium violent racist bigoted do know part believe due strict moderation chinese social medium nirvana mind people allow incite violence hatred also nature feel chinese people prefer harmony conflict naturally averse wasp believe u bomb playground hate child much post translate english google translate theory do,neutral,neutral,neutral
trump privately show serious interest u grind troop range president private comment focus large scale ground invasion iran rather idea small contingent u troop would use specific strategic purpose source say,anti-iran,anti-iran,anti-iran
failure u iran war parallel failure u vietnam war,anti-iran,anti-iran,neutral
michael tubal czechia repeat button president issue video message main point reject unconditional surrender united state apologize neighbour country target iranian attack say attack carry independently regional commander removal senior leadership state since yesterday likely friday temporary leadership council order halt attack neighbour country unless territory use attack iran warn regional group play hand united state attack iran likely refer kurdish arm group,anti-iran,neutral,neutral
say care whether leader democratically elect fact happy democratically elect leader want select leader he think carefully roll floor laugh roll floor laugh roll floor laughing,neutral,neutral,neutral
lack plan affect economy maybe meeting mar top leader room show fear martyr strategy hurt people vote manga nov know trump would break negotiation two main u negotiator amateurs real estate billionaire trump nyx friend trump sony law,neutral,neutral,neutral
iran apology gulf state mask hard line surrender,anti-iran,neutral,neutral
admin dismisses report russia provide intel target u military personnel press secretary levitt whether happen frankly really matter stupid question ask time,neutral,neutral,neutral
visual misinformation iran war fuel state actor attack spread bomb iran u israeli force video circulate widely,anti-iran,neutral,neutral
analysis israel plan war iran year combine effort allow u hop achieve year crush regime terror completely promise amp go happen tanya year year proclaim last opportunity stop mad mullah obtain bomb bomb never materialise jonathan cook,anti-iran,anti-iran,neutral
let hope fold hand,neutral,neutral,neutral
agree make total sense almost go heaven,neutral,neutral,neutral
airline ground dubai flight british expat fight leave region,neutral,neutral,neutral
possible make marking flag stuff fly high proof actually,neutral,neutral,neutral
politics girl short war iran go believe correct disappoint u congress vote stop insanity,anti-iran,neutral,neutral
health ministry people kill wounded strike baalbek district eastern overnight,neutral,neutral,neutral
defense minister retaliation action undermine regional security stability hope iranian side exercise wisdom avoid miscalculation,anti-iran,neutral,neutral
president pee skin respond demand social medium unconditional surrender demand dream take grave apologizes iran attack gulf state continue saturday morning,anti-iran,neutral,neutral
top world back scott lucas sasha far bach,neutral,neutral,neutral
pentagon acknowledges tough quest counter iranian drone trump administration airport time army time defense news marine pastimes military time navy time time,neutral,neutral,neutral
u israeli airstrikes far fail destroy iran military command control network accord u source insider foreign office believe regime command structure weaken remain intact despite kill supreme leader ali karen saturday,anti-iran,anti-iran,anti-iran
addition broadcast already place kit cha anywhere tack era,neutral,neutral,neutral
twenty webster chat share schedule yesterday expansion radio garda via site put din kit kuwait put put kit kit kit kit,neutral,neutral,neutral
day strike turn deep parent guardian,neutral,neutral,neutral
missile gulf could dim light dhaka,neutral,neutral,neutral
ballistic missile hit air base strike u antsy radar thad missile system,neutral,neutral,neutral
people uprising government war,neutral,neutral,neutral
somehow do think u troop survive iran remember iran iraq war remember mass casualty iran make russian human wave infantry attack look like circus die thousand take one u infantry company trump seriously fuck time time severe rec year old iraqi kid fresh boot fight israel year hezbollah friends one win,anti-iran,anti-iran,anti-iran
pete hag seth need prison war crime,anti-iran,neutral,neutral
pete hag seth need prison war crime,anti-iran,neutral,neutral
ceasefire agenda ceasefire iranian agenda right ceasefire may come imposed cost,neutral,neutral,neutral
late israel hammer beirut tehran iran attack israeli target gulf country say intercept ballistic missile drone saturday iran launch another wave mideast war uranus late,anti-iran,neutral,neutral
interview trump clear plan iran u official resignation exactly warn ala charr tit ludicrous expect american people believe iran would attack u preemptively middle negotiation contradictory message trumpet al show little really think go war jasmine elgar al,anti-iran,anti-iran,neutral
law investigation find u likely behind iranian school massacre investigator reportedly believe american force behind bomb iranian girl school kill,anti-iran,anti-iran,neutral
timeline destruction middle east one week since first iran strike,neutral,neutral,neutral
well know still alive old day would thank usually male deity give u another day thankful one another male demagogue press big red button night rather insignificant grey lever small purple switch junior family member decide call,neutral,neutral,neutral
prof prof think live ruth bench iran strongman record timothy snyder live video ruth ben ghat,neutral,neutral,neutral
trump real plan iran might come view article thursday phone interview axis trump say involve appointment new supreme leader iran like delay rodriguez venezuela leave aside naive notion iran anything like venezuela remark splash several gallon cold water anyone democratic protester iranian military renegade kurdish militiaman anyone might think heed trump call join war hop reshape iran afterwards trump view one take charge see domination reward violently oust old leader war iran trump war tantalus even thousand way million people pay price,anti-iran,anti-iran,anti-iran
ad receiver push kind crap either jam deliberately spoof probably jam someone gas jammer throw position significantly,neutral,neutral,neutral
rerouted dec instead dub next airport dubai definitely must issue etc go watch night interest hope civilian fatality fiasco,neutral,neutral,neutral
